Kinvent Physio 2.23.0_ota_4,Version BLE : 5,Appareils: ,S121577 (FW 3.022) (125 Hz),M122648 (FW 3.022) (500 Hz),S121578 (FW 3.022) (125 Hz)
Legacy RMS
K-Move (S121578) Quaternion de base (x-y-z-w),-0.576,-0.184,0.255,0.755
K-Move (S121577) Quaternion de base (x-y-z-w),-0.385,0.520,-0.705,0.289
,K-Move (S121578),,,,,K-Move (S121577),,,
temps (seconde),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
0,-0.578369140625000,-0.184753417968750,0.241943359375000,0.756774902343750,,-0.405029296875000,0.515686035156250,-0.699523925781250,0.283813476562500,
0.008,-0.578324694258832,-0.184728199174075,0.241919781075977,0.756857647367760,,-0.405223423522492,0.515639024238291,-0.699451396574182,0.283943269502430,
0.016,-0.578227629585223,-0.184695920950534,0.241856439777426,0.756972508799909,,-0.405559386266326,0.515486762993793,-0.699268734857425,0.284187599135528,
0.024,-0.578136112788610,-0.184726451156538,0.241764901051064,0.757064112645008,,-0.405802956174202,0.515363955848218,-0.699145666164909,0.284370305003476,
0.032,-0.578049635697102,-0.184789110614326,0.241675469356705,0.757131799377509,,-0.405894159751604,0.515302472737281,-0.699114542224794,0.284431095404884,
0.04,-0.578018539613035,-0.184849962747421,0.241614191030433,0.757161561129852,,-0.405866778151161,0.515275936709843,-0.699150463994657,0.284402775065093,
0.048,-0.578019539871402,-0.184911319539642,0.241553572232426,0.757162871394376,,-0.405833013043466,0.515302333075569,-0.699175389443961,0.284369981616710,
0.056,-0.578047589322436,-0.184941048059446,0.241491503843959,0.757159637352285,,-0.405862156581395,0.515331105799942,-0.699142502829023,0.284369018349157,
0.064,-0.578107236284084,-0.184940603488442,0.241460405082599,0.757127299000784,,-0.405954206619421,0.515362252832819,-0.699051800994170,0.284399883587910,
0.072,-0.578171430488346,-0.184941613552884,0.241461723833402,0.757070397261779,,-0.406170924517840,0.515366173441489,-0.698874007923852,0.284493602701579,
0.08,-0.578205158525286,-0.184912121582641,0.241463064195717,0.757044081198049,,-0.406506811816743,0.515305369183611,-0.698660693912965,0.284646323859967,
0.088,-0.578176324381650,-0.184851622949573,0.241463767669972,0.757076805433391,,-0.406839754440189,0.515210316889901,-0.698472842237838,0.284827501927109,
0.096,-0.578139178219730,-0.184818985604871,0.241460999687210,0.757129163452981,,-0.407116676199284,0.515121617508824,-0.698293603307032,0.285012191830968,
0.104,-0.578111340765022,-0.184819842668689,0.241401082481725,0.757163192967333,,-0.407239529615220,0.515092084895509,-0.698203384182928,0.285104292990511,
0.112,-0.578083998948742,-0.184851376920733,0.241310853114122,0.757197872342795,,-0.407207203111127,0.515089797954703,-0.698230802666528,0.285103027165117,
0.12,-0.578048344125821,-0.184910771187284,0.241217153897391,0.757252181130563,,-0.407086280932018,0.515152291935862,-0.698263296178467,0.285073315105029,
0.128,-0.578019363291507,-0.184972299942440,0.241126240198849,0.757284713870932,,-0.406901541456105,0.515302822132028,-0.698291020029785,0.285011137452828,
0.136,-0.578018226293129,-0.185032972862473,0.241095247503470,0.757283224246975,,-0.406716789828547,0.515453333848890,-0.698318720256382,0.284948950748791,
0.144,-0.578046566950811,-0.185062794044122,0.241124857477343,0.757249853004090,,-0.406596347067036,0.515577474093710,-0.698291001819473,0.284950093264649,
0.152,-0.578076043419099,-0.185031942310738,0.241185459357045,0.757217970083132,,-0.406535885838450,0.515669759253231,-0.698230953539366,0.285011533506890,
0.16,-0.578079603338025,-0.184972044970529,0.241278499841116,0.757192114793566,,-0.406507748886103,0.515764336049184,-0.698143488252138,0.285074240416298,
